Details
User's screen resolution:,2560x1440
Base video resolution:,312x360
Base video frame rate (fps):,30
Delta video resolution:,312x360
Delta video frame rate (fps):,30
Delta video frame rate (fps):,30
Base video starting frame:,2
Delta video starting frame:,0
Set threshold:,15
Set minimum contour area:,20
Set duration threshold (in seconds):,1
Output image (or video) resolution:,1362x871



Timestamp,Duration
24.00,5.60
43.30,4.30
34.60,19.00
25.03,48.53
25.07,48.50
25.10,48.47
25.10,48.47
25.10,48.47
25.10,48.47
25.10,48.47
25.10,48.47
25.10,48.47
