Details
User's screen resolution:,2560x1440
Base video resolution:,1920x1080
Base video frame rate (fps):,30
Delta video resolution:,1920x1080
Delta video frame rate (fps):,30
Delta video frame rate (fps):,30
Base video starting frame:,0
Delta video starting frame:,62
Set threshold:,200
Set minimum contour area:,100
Set duration threshold (in seconds):,1
Output image (or video) resolution:,1365x453



Timestamp,Duration
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
1.70,4.83
